,equity
2025-09-05 13:30:00+00:00,100000.0
2025-09-05 13:30:00+00:00,100000.0
2025-09-05 13:30:00+00:00,100000.0
2025-09-05 13:30:00+00:00,100000.0
2025-09-05 13:30:00+00:00,100000.0
2025-09-05 13:30:00+00:00,100000.0
2025-09-05 13:30:00+00:00,100000.0
2025-09-05 13:30:00+00:00,100000.0
2025-09-05 13:30:00+00:00,100000.0
2025-09-05 13:35:00+00:00,100000.0
2025-09-05 13:35:00+00:00,100000.0
2025-09-05 13:35:00+00:00,100000.0
2025-09-05 13:35:00+00:00,100000.0
2025-09-05 13:35:00+00:00,100000.0
2025-09-05 13:35:00+00:00,100000.0
2025-09-05 13:35:00+00:00,100000.0
2025-09-05 13:35:00+00:00,100000.0
2025-09-05 13:40:00+00:00,100000.0
2025-09-05 13:40:00+00:00,100000.0
2025-09-05 13:40:00+00:00,100000.0
2025-09-05 13:40:00+00:00,100000.0
2025-09-05 13:40:00+00:00,100000.0
2025-09-05 13:40:00+00:00,100000.0
2025-09-05 13:40:00+00:00,100000.0
2025-09-05 13:40:00+00:00,100000.0
2025-09-05 13:45:00+00:00,100000.0
2025-09-05 13:45:00+00:00,100000.0
2025-09-05 13:45:00+00:00,100000.0
2025-09-05 13:45:00+00:00,100000.0
2025-09-05 13:45:00+00:00,100000.0
2025-09-05 13:45:00+00:00,100000.0
2025-09-05 13:45:00+00:00,100000.0
2025-09-05 13:45:00+00:00,100000.0
2025-09-05 13:50:00+00:00,100000.0
2025-09-05 13:50:00+00:00,100000.0
2025-09-05 13:50:00+00:00,100000.0
2025-09-05 13:50:00+00:00,100000.0
2025-09-05 13:50:00+00:00,100000.0
2025-09-05 13:50:00+00:00,100000.0
2025-09-05 13:50:00+00:00,100000.0
2025-09-05 13:50:00+00:00,100000.0
2025-09-05 13:50:00+00:00,100000.0
2025-09-05 13:55:00+00:00,100000.0
2025-09-05 13:55:00+00:00,100000.0
2025-09-05 13:55:00+00:00,100000.0
2025-09-05 13:55:00+00:00,100000.0
2025-09-05 13:55:00+00:00,100000.0
2025-09-05 13:55:00+00:00,100000.0
2025-09-05 13:55:00+00:00,100000.0
2025-09-05 14:00:00+00:00,100000.0
2025-09-05 14:00:00+00:00,100000.0
2025-09-05 14:00:00+00:00,100000.0
2025-09-05 14:00:00+00:00,100000.0
2025-09-05 14:00:00+00:00,100000.0
2025-09-05 14:00:00+00:00,100000.0
2025-09-05 14:00:00+00:00,100000.0
2025-09-05 14:00:00+00:00,100000.0
2025-09-05 14:05:00+00:00,100000.0
2025-09-05 14:05:00+00:00,100000.0
2025-09-05 14:05:00+00:00,100000.0
2025-09-05 14:05:00+00:00,100000.0
2025-09-05 14:05:00+00:00,100000.0
2025-09-05 14:05:00+00:00,100000.0
2025-09-05 14:05:00+00:00,100000.0
2025-09-05 14:05:00+00:00,100000.0
2025-09-05 14:10:00+00:00,100000.0
2025-09-05 14:10:00+00:00,100000.0
2025-09-05 14:10:00+00:00,100000.0
2025-09-05 14:10:00+00:00,100000.0
2025-09-05 14:10:00+00:00,100000.0
2025-09-05 14:10:00+00:00,100000.0
2025-09-05 14:10:00+00:00,100000.0
2025-09-05 14:10:00+00:00,100000.0
2025-09-05 14:10:00+00:00,100000.0
2025-09-05 14:15:00+00:00,100000.0
2025-09-05 14:15:00+00:00,100000.0
